"","Position","Genes","AGBE-OT_NT1.indel","AGBE-OT_NT2.indel","AGBE-OT_NT3.indel","WT1.indel","WT2.indel","WT3.indel","AGBE-OT_NT1.snp","AGBE-OT_NT2.snp","AGBE-OT_NT3.snp","WT1.snp","WT2.snp","WT3.snp"
"1","intergenic","LOC102723769","727","712","702","734","735","693","8760","8682","9106","9024","9118","8816"
"2","intergenic","LOC102723780","603","609","618","636","623","594","6395","6465","6707","6509","6580","6512"
"3","intergenic","FRG1DP","553","534","570","585","569","474","7568","7729","7614","7945","7557","7088"
"4","intergenic","FRG1CP","327","299","322","324","310","290","4565","4569","4621","4725","4541","4476"
"5","intergenic","FRG2EP","289","315","318","344","333","250","3872","3997","3878","4122","3856","3418"
"6","intergenic","MIR4477A","286","281","282","298","276","234","3724","3722","3785","3926","3862","3379"
"7","intergenic","DEFB115","255","237","262","300","244","225","2688","2572","2588","2754","2566","2479"
"8","intergenic","FRG1BP","255","238","263","301","247","227","2707","2590","2605","2773","2585","2495"
"9","intergenic","KCNJ18","205","199","194","204","205","184","1801","1850","1820","1876","1827","1743"
"10","intergenic","LINC01598","201","192","208","198","185","157","2699","2751","2788","2824","2868","2540"
"11","intergenic","UBBP4","176","172","165","170","171","152","1304","1350","1332","1376","1313","1241"
"12","intergenic","LOC100507412","162","178","197","194","205","194","1245","1226","1305","1276","1338","1213"
"13","intergenic","KCNE1B","160","176","195","191","201","191","1244","1224","1303","1275","1337","1212"
"14","intergenic","LOC441666","160","166","175","167","158","152","1008","954","990","1069","963","942"
"15","intergenic","LOC102724219","140","145","147","142","142","122","1782","1696","1746","1716","1798","1636"
"16","intergenic","LOC105379511","114","120","118","130","121","124","1344","1423","1364","1404","1436","1391"
"17","intergenic","ACTR3BP5","113","112","128","126","117","93","1111","1055","1088","1131","1116","972"
"18","intergenic","CCT8L2","89","91","67","106","85","63","1087","1015","1026","1337","1117","911"
"19","intergenic","DUXAP8","89","92","67","106","85","63","1087","1015","1026","1337","1117","911"
"20","intergenic","TEKT4P2","89","91","92","102","97","104","885","907","905","916","923","932"
"21","intergenic","TTTY23","88","105","89","99","90","93","802","837","829","813","800","791"
"22","intergenic","GYG2P1","85","103","86","97","88","92","792","829","822","803","794","786"
"23","intergenic","LOC105371703","83","97","86","101","84","64","1022","1137","1178","1163","1064","955"
"24","intergenic","LINC01597","60","58","61","73","63","58","887","837","848","931","880","705"
"25","intergenic","LOC105379477","60","76","69","84","79","67","750","807","777","809","781","737"
"26","intergenic","LOC105379514","58","73","67","69","65","57","699","773","722","755","762","691"
"27","intergenic","FRG1EP","51","46","50","48","43","37","540","558","527","543","557","518"
"28","intergenic","LOC654342","47","54","49","55","61","62","506","468","480","517","505","482"
"29","intergenic","LOC101927050","46","58","49","58","62","65","523","498","495","536","529","496"
"30","intergenic","MIR3648-2","43","41","45","43","42","39","287","322","319","324","303","298"
"31","intergenic","RNA45SN5","43","41","45","43","42","39","287","322","319","324","303","298"
"32","intergenic","CWH43","42","44","53","41","45","41","290","253","262","302","295","241"
"33","intergenic","TPTE","41","42","52","48","38","43","55","83","57","54","73","66"
"34","intergenic","XLOC_007697","41","29","39","35","41","36","691","662","651","680","689","668"
"35","intergenic","ZNF733P","41","38","33","28","46","26","668","644","587","754","669","516"
"36","intergenic","PWP2","38","33","39","35","36","27","466","469","468","499","461","436"
"37","intergenic","LINC01667","35","47","49","43","40","37","255","261","262","279","266","236"
"38","intergenic","LOC645166","33","33","21","29","28","16","452","484","433","446","477","434"
"39","intergenic","CBWD5","32","38","31","38","37","19","267","267","265","254","277","259"
"40","intergenic","LINC02167","32","38","28","35","33","26","624","645","667","691","636","580"
"41","intergenic","MTRNR2L9","32","30","32","48","25","35","577","575","622","719","571","533"
"42","intergenic","SPRY3","32","42","41","32","29","43","77","84","68","71","79","77"
"43","intergenic","ZNF716","32","34","32","37","34","19","477","421","440","454","433","400"
"44","intergenic","MTRNR2L6","31","36","36","32","40","29","270","301","296","333","301","317"
"45","intergenic","TRY2P","31","36","36","32","39","29","270","301","296","332","301","317"
"46","intergenic","C17orf51","30","27","29","34","34","32","497","501","489","500","514","502"
"47","intergenic","BMS1P14","28","38","35","44","40","37","597","570","620","698","633","528"
"48","intergenic","FAM27E2","27","35","24","30","25","21","281","291","279","326","283","255"
"49","intergenic","MIR1299","25","28","25","22","16","19","245","259","283","253","275","265"
"50","intergenic","HCN1","24","31","28","30","30","25","564","573","587","614","573","577"
"51","intergenic","LOC100131532","23","20","20","18","18","16","0","0","0","0","0","0"
"52","intergenic","ZNF717","22","21","24","21","16","18","78","90","91","102","89","79"
"53","intergenic","EMB","21","35","22","25","26","24","291","275","313","297","303","297"
"54","intergenic","LINC00273","21","34","17","34","17","22","291","369","347","386","343","283"
"55","intergenic","LOC100133920","21","30","29","35","30","31","308","318","333","359","344","281"
"56","intergenic","ANP32E","19","20","16","26","22","19","0","0","0","0","0","0"
"57","intergenic","NPY4R","19","20","20","20","18","15","97","95","103","99","103","93"
"58","intergenic","BAGE","18","21","24","21","18","15","89","88","86","100","102","82"
"59","intergenic","LINC00574","18","16","17","14","12","10","0","0","0","0","0","0"
"60","intergenic","FLJ43315","17","18","19","17","18","12","149","143","152","181","134","106"
