Version,Name,Database_Type,Explanation,Date,Webfrom
hg18,cytoBand,region-based,A cytoband file is a five-column tab-delimited text file. Each row of the file describes the position of a cytogenetic band.?,,UCSC
hg19,cytoBand,region-based,same as above,,UCSC
hg38,cytoBand,region-based,same as above,,UCSC
hg19,refGene,gene-based,FASTA sequences for all annotated transcripts in RefSeq Gene,20211019,Annovar
hg38,refGene,gene-based,FASTA sequences for all annotated transcripts in RefSeq Gene,20211019,Annovar
hg18,refGeneWithVer,gene-based,FASTA sequences for all annotated transcripts in RefSeq Gene with version number?,20211019,Annovar
hg19,refGeneWithVer,gene-based,FASTA sequences for all annotated transcripts in RefSeq Gene with version number?,20211019,Annovar
hg38,refGeneWithVer,gene-based,FASTA sequences for all annotated transcripts in RefSeq Gene with version number?,20211019,Annovar
hg18,knownGene,gene-based,FASTA sequences for all annotated transcripts in UCSC Known Gene,20211019,Annovar
hg19,knownGene,gene-based,FASTA sequences for all annotated transcripts in UCSC Known Gene,20211019,Annovar
hg38,knownGene,gene-based,FASTA sequences for all annotated transcripts in UCSC Known Gene,20211019,Annovar
hg18,ensGene,gene-based,FASTA sequences for all annotated transcripts in wgEncodeGencodeManualV3 collection,20211019,Annovar
hg19,ensGene,gene-based,FASTA sequences for all annotated transcripts in Gencode v43 Basic collection lifted up to hg19,20230315,Annovar
hg38,ensGene,gene-based,FASTA sequences for all annotated transcripts in Gencode v43 Basic collection,20230315,Annovar
hg19,ensGene40,gene-based,FASTA sequences for all annotated transcripts in Gencode v40 Basic collection lifted up to hg19,20220802,Annovar
hg38,ensGene40,gene-based,FASTA sequences for all annotated transcripts in Gencode v40 Basic collection,20220802,Annovar
hg19,ensGene41,gene-based,FASTA sequences for all annotated transcripts in Gencode v41 Basic collection lifted up to hg19,20221005,Annovar
hg38,ensGene41,gene-based,FASTA sequences for all annotated transcripts in Gencode v41 Basic collection,20221005,Annovar
hg18,ljb26_all,filter-based,"whole-exome SIFT, PolyPhen2 HDIV, PolyPhen2 HVAR, LRT, MutationTaster, MutationAssessor, FATHMM, MetaSVM, MetaLR, VEST, CADD, GERP++, PhyloP and SiPhy scores from dbNSFP version 2.6",20140925,Annovar
hg19,ljb26_all,filter-based,same as above,20140925,Annovar
hg38,ljb26_all,filter-based,same as above,20150520,Annovar
hg18,dbnsfp30a,filter-based,"whole-exome SIFT, PolyPhen2 HDIV, PolyPhen2 HVAR, LRT, MutationTaster, MutationAssessor, FATHMM, MetaSVM, MetaLR, VEST, CADD, GERP++, DANN, fitCons, PhyloP and SiPhy scores from dbNSFP version 3.0a",20151015,Annovar
hg19,dbnsfp30a,filter-based,same as above,20151015,Annovar
hg38,dbnsfp30a,filter-based,same as above,20151015,Annovar
hg19,dbnsfp31a_interpro,filter-based,protein domain for variants,20151219,Annovar
hg38,dbnsfp31a_interpro,filter-based,same as above,20151219,Annovar
hg18,dbnsfp33a,filter-based,"whole-exome SIFT, PolyPhen2 HDIV, PolyPhen2 HVAR, LRT, MutationTaster, MutationAssessor, FATHMM, PROVEAN, MetaSVM, MetaLR, VEST, M-CAP, CADD, GERP++, DANN, fathmm-MKL, Eigen, GenoCanyon, fitCons, PhyloP and SiPhy scores from dbNSFP version 3.3a",20170221,Annovar
hg19,dbnsfp33a,filter-based,same as above,20170221,Annovar
hg38,dbnsfp33a,filter-based,same as above,20170221,Annovar
hg18,dbnsfp35a,filter-based,same as above,20180921,Annovar
hg19,dbnsfp35a,filter-based,same as above,20180921,Annovar
hg38,dbnsfp35a,filter-based,same as above,20180921,Annovar
